Valute,ID,NumCode,CharCode,Nominal,Name,Value,Previous
AUD,R01010,036,AUD,1,Австралийский доллар,55.0652,54.9647
AZN,R01020A,944,AZN,1,Азербайджанский манат,45.4551,45.3658
DZD,R01030,012,DZD,100,Алжирских динаров,59.5434,59.4237
GBP,R01035,826,GBP,1,Фунт стерлингов,104.4353,104.3766
AMD,R01060,051,AMD,100,Армянских драмов,20.497,20.4545
BHD,R01080,048,BHD,1,Бахрейнский динар,205.4705,205.0669
BYN,R01090B,933,BYN,1,Белорусский рубль,27.0793,27.0385
BOB,R01105,068,BOB,1,Боливиано,11.1829,11.1609
BRL,R01115,986,BRL,1,Бразильский реал,15.0399,14.9934
HUF,R01135,348,HUF,100,Форинтов,24.2572,24.2552
VND,R01150,704,VND,10000,Донгов,30.8551,30.7859
HKD,R01200,344,HKD,10,Гонконгских долларов,98.9355,98.7475
GEL,R01210,981,GEL,1,Лари,28.897,28.8414
DKK,R01215,208,DKK,1,Датская крона,12.2179,12.1639
AED,R01230,784,AED,1,Дирхам ОАЭ,21.0411,20.9998
USD,R01235,840,USD,1,Доллар США,77.2736,77.1218
EUR,R01239,978,EUR,1,Евро,91.2965,91.0281
EGP,R01240,818,EGP,10,Египетских фунтов,16.1236,16.0919
INR,R01270,356,INR,100,Индийских рупий,84.9588,84.8357
IDR,R01280,360,IDR,10000,Рупий,46.1115,45.8703
IRR,R01300,364,IRR,1000000,Иранских риалов,58.8139,58.6983
KZT,R01335,398,KZT,100,Тенге,15.4008,15.3856
CAD,R01350,124,CAD,1,Канадский доллар,56.4535,56.355
QAR,R01355,634,QAR,1,Катарский риал,21.229,21.1873
KGS,R01370,417,KGS,100,Сомов,88.3632,88.1896
CNY,R01375,156,CNY,1,Юань,11.2394,11.2487
CUP,R01395,192,CUP,10,Кубинских песо,32.1973,32.1341
MDL,R01500,498,MDL,10,Молдавских леев,45.1362,45.0005
MNT,R01503,496,MNT,1000,Тугриков,21.6699,21.6242
NGN,R01520,566,NGN,1000,Найр,56.8264,56.8697
NZD,R01530,554,NZD,1,Новозеландский доллар,46.1903,46.2885
NOK,R01535,578,NOK,10,Норвежских крон,80.8386,80.4567
OMR,R01540,512,OMR,1,Оманский риал,200.9717,200.5769
PLN,R01565,985,PLN,1,Злотый,21.5824,21.5472
SAR,R01580,682,SAR,1,Саудовский риял,20.6063,20.5658
RON,R01585F,946,RON,1,Румынский лей,17.8961,17.8506
XDR,R01589,960,XDR,1,СДР (специальные права заимствования),106.2999,105.9168
SGD,R01625,702,SGD,1,Сингапурский доллар,61.1535,61.0479
TJS,R01670,972,TJS,10,Сомони,81.2474,81.2167
THB,R01675,764,THB,10,Батов,24.8804,24.8235
BDT,R01685,050,BDT,100,Так,63.1852,63.0611
TRY,R01700J,949,TRY,10,Турецких лир,17.6254,17.5964
TMT,R01710A,934,TMT,1,Новый туркменский манат,22.0782,22.0348
UZS,R01717,860,UZS,10000,Узбекских сумов,63.4838,63.545
UAH,R01720,980,UAH,10,Гривен,17.8841,17.8352
CZK,R01760,203,CZK,10,Чешских крон,37.654,37.5362
SEK,R01770,752,SEK,10,Шведских крон,85.5345,85.1218
CHF,R01775,756,CHF,1,Швейцарский франк,99.9788,99.6534
ETB,R01800,230,ETB,100,Эфиопских быров,49.5244,49.5736
RSD,R01805F,941,RSD,100,Сербских динаров,77.7335,77.6408
ZAR,R01810,710,ZAR,10,Рэндов,48.6218,48.5797
KRW,R01815,410,KRW,1000,Вон,54.2461,53.7322
JPY,R01820,392,JPY,100,Иен,49.6107,49.4054
MMK,R02005,104,MMK,1000,Кьятов,36.797,36.7247
